Date,unc
1959-01,0.006243725843477192
1959-02,0.004040492892915902
1959-03,0.002905976366365966
1959-04,0.0028665735634399374
1959-05,0.004111808143428848
1959-06,0.00446683405105321
1959-07,0.005293308858175664
1959-08,0.004923636009726414
1959-09,0.003546045526214546
1959-10,0.002865839905154418
1959-11,0.004768929083081705
1959-12,0.006414738792315738
1960-01,0.006633011400747847
1960-02,0.004753892922275937
1960-03,0.0027119668287117946
1960-04,0.0027710235146113267
1960-05,0.003766895224838386
1960-06,0.0049828348264068355
1960-07,0.006078788495654902
1960-08,0.0044702530303244725
1960-09,0.0031555998899338114
1960-10,0.0028293781375882897
1960-11,0.00411838056380348
1960-12,0.00723921445414558
1961-01,0.006447521417044172
1961-02,0.004456294842190275
1961-03,0.0029632532897299686
1961-04,0.0029176323370835766
1961-05,0.003974180634809145
1961-06,0.004938471286508681
1961-07,0.005960114555977864
1961-08,0.004999856941245995
1961-09,0.0034564150098796258
1961-10,0.002928781610476121
1961-11,0.004948709921446533
1961-12,0.007997723708180972
1962-01,0.006120935767727913
1962-02,0.004843211742807782
1962-03,0.002864038648751197
1962-04,0.003055339831127761
1962-05,0.004239733380752723
1962-06,0.004959699889262982
1962-07,0.006168629726359305
1962-08,0.005092620893066263
1962-09,0.00336914262997629
1962-10,0.0027403335267295404
1962-11,0.004724562124049699
1962-12,0.007101679374431404
1963-01,0.006907779119906248
1963-02,0.004417211167930991
1963-03,0.002999671161921834
1963-04,0.0030338112313896557
1963-05,0.0041803130867687065
1963-06,0.004995454622569682
1963-07,0.005665542597364224
1963-08,0.00485526365788775
1963-09,0.0031994850759333717
1963-10,0.002723594091735189
1963-11,0.004041839315014636
1963-12,0.006490501626231977
1964-01,0.005063535622915417
1964-02,0.004470682247591442
1964-03,0.002693812038095947
1964-04,0.002901269493304272
1964-05,0.003865482258852596
1964-06,0.004627469522409209
1964-07,0.00527575477226129
1964-08,0.005352809971312095
1964-09,0.003873600369711656
1964-10,0.003126324085449146
1964-11,0.004439326187296001
1964-12,0.006692259263137714
1965-01,0.005959525413994119
1965-02,0.0039897644774613255
1965-03,0.0030304708273857133
1965-04,0.0029475865149100446
1965-05,0.0037069890288876114
1965-06,0.004967472977683391
1965-07,0.005671720625136814
1965-08,0.005121376222126643
1965-09,0.0032203151881178174
1965-10,0.002736824404081975
1965-11,0.003978573659296295
1965-12,0.005747074880613473
1966-01,0.006681869147210794
1966-02,0.004262576862857621
1966-03,0.0028338593848719305
1966-04,0.0027433492734192716
1966-05,0.003522965562677941
1966-06,0.00528625761350579
1966-07,0.006122898136399037
1966-08,0.005415004072273557
1966-09,0.003577383185137864
1966-10,0.002812004386765115
1966-11,0.004189699095284037
1966-12,0.007683966046883361
1967-01,0.006131179406311286
1967-02,0.00471188058262263
1967-03,0.003191557614943261
1967-04,0.0028927248398562845
1967-05,0.004260671334762664
1967-06,0.005441034204189201
1967-07,0.0065127946355509475
1967-08,0.005840642520613945
1967-09,0.003670640205047765
1967-10,0.003232275587412234
1967-11,0.004715123170347922
1967-12,0.007499490537544049
1968-01,0.00701896487333716
1968-02,0.005067081354204558
1968-03,0.0034687948743141943
1968-04,0.002885808549678185
1968-05,0.003965437282468491
1968-06,0.005419508046657846
1968-07,0.007080608680683556
1968-08,0.005619745880568172
1968-09,0.0038447162585353886
1968-10,0.002945686366863584
1968-11,0.004582219330067188
1968-12,0.007252289622326845
1969-01,0.005703504886355048
1969-02,0.0044927672154418865
1969-03,0.0035112633066751776
1969-04,0.0030698483758676014
1969-05,0.004696217363666011
1969-06,0.006070268538399722
1969-07,0.007049994282008846
1969-08,0.006569742060286321
1969-09,0.0037118397118713516
1969-10,0.0027941557783356047
1969-11,0.004136383529167389
1969-12,0.007399360252924552
1970-01,0.007148030358121665
1970-02,0.00463390758183063
1970-03,0.00340577166740282
1970-04,0.0030905595004108687
1970-05,0.004371595151619845
1970-06,0.005374453865604957
1970-07,0.006019080394187927
1970-08,0.006838163983034323
1970-09,0.003753226392721454
1970-10,0.003040474798226878
1970-11,0.0051734892453450965
1970-12,0.007049457627411822
1971-01,0.007320927469556942
1971-02,0.005098122066128001
1971-03,0.003354791446333406
1971-04,0.0030877770576430564
1971-05,0.004223488513789123
1971-06,0.005758062928258993
1971-07,0.006130646449380418
1971-08,0.006252892900249717
1971-09,0.0035226514913626883
1971-10,0.002898483670850943
1971-11,0.004926984337122836
1971-12,0.007615481528089027
1972-01,0.006499216851845352
1972-02,0.005992038562939453
1972-03,0.003301609748843378
1972-04,0.003239506544888089
1972-05,0.004454406956838241
1972-06,0.005801043709378034
1972-07,0.007613389061298901
1972-08,0.005451617960324029
1972-09,0.0035828491474403563
1972-10,0.002594747417936529
1972-11,0.004012813343849661
1972-12,0.007474581939832115
1973-01,0.006494441466117804
1973-02,0.00482837440661969
1973-03,0.0030940827367085992
1973-04,0.0032051224642852556
1973-05,0.004511679098800563
1973-06,0.005753278135723153
1973-07,0.00703235801769178
1973-08,0.006546287242727381
1973-09,0.004354884029190649
1973-10,0.002956413264338771
1973-11,0.004910815377211698
1973-12,0.009374319758888704
1974-01,0.007873539769963588
1974-02,0.00600665048241918
1974-03,0.0032248480879314106
1974-04,0.003335273652191328
1974-05,0.004821450744493852
1974-06,0.005970948240601448
1974-07,0.007273031951459328
1974-08,0.00529500881508849
1974-09,0.003911968224057521
1974-10,0.0029760364701533265
1974-11,0.004550736970494741
1974-12,0.007720506519902975
1975-01,0.007881041808341316
1975-02,0.005197609809058349
1975-03,0.0034525261275828102
1975-04,0.003050569495194846
