170001 0.070 0.139 -0.042 -0.109 0.043 -0.127 0.063 0.101 -0.052 -0.070 0.207 0.224
170002 0.070 0.150 -0.040 -0.101 0.177 -0.163 0.079 0.130 -0.016 -0.054 0.206 0.438
170003 0.107 0.163 -0.009 -0.063 0.279 -0.172 0.136 0.145 0.029 -0.020 0.217 0.812
170004 0.172 0.082 0.041 0.014 0.261 -0.134 0.246 0.110 0.058 0.004 0.235 1.088
170005 0.062 -0.130 0.057 0.049 0.168 -0.137 0.228 -0.010 0.059 0.008 -0.136 0.219
170006 -0.183 -0.232 -0.005 0.040 0.020 -0.088 -0.141 -0.089 0.024 0.004 -0.407 -1.055
170007 -0.202 -0.206 -0.027 0.110 -0.147 -0.003 -0.311 -0.102 -0.007 0.016 -0.338 -1.216
170008 -0.192 -0.162 0.005 0.111 -0.247 0.059 -0.367 -0.129 -0.010 0.032 -0.296 -1.195
170009 -0.128 -0.122 0.057 0.131 -0.192 0.157 -0.256 -0.128 0.001 0.040 -0.160 -0.601
170010 -0.004 -0.076 0.002 0.118 -0.150 0.248 0.068 -0.120 0.000 0.048 -0.043 0.093
170011 0.075 0.006 -0.035 0.029 -0.103 0.235 0.131 -0.023 -0.008 0.048 0.139 0.494
170012 0.082 0.100 -0.036 -0.072 -0.085 0.123 0.092 0.018 -0.044 0.035 0.196 0.408
170101 0.068 0.146 -0.066 -0.140 0.044 -0.111 0.069 0.071 -0.043 -0.017 0.223 0.245
170102 0.062 0.150 -0.046 -0.106 0.173 -0.158 0.077 0.122 -0.001 -0.023 0.210 0.461
170103 0.107 0.173 -0.035 -0.093 0.279 -0.152 0.127 0.167 0.011 -0.018 0.275 0.841
170104 0.154 0.137 -0.001 -0.052 0.271 -0.103 0.250 0.145 0.033 -0.014 0.186 1.005
170105 0.113 -0.062 0.021 -0.020 0.185 -0.102 0.232 0.034 0.031 -0.004 -0.128 0.299
170106 -0.158 -0.217 0.005 0.014 0.003 -0.075 -0.165 -0.015 0.026 -0.008 -0.340 -0.928
170107 -0.219 -0.175 -0.046 0.061 -0.184 -0.021 -0.336 0.003 0.011 -0.006 -0.324 -1.236
170108 -0.174 -0.171 -0.034 0.077 -0.238 0.088 -0.361 -0.052 -0.012 0.016 -0.223 -1.085
170109 -0.133 -0.137 0.015 0.089 -0.209 0.166 -0.244 -0.111 -0.021 0.034 -0.087 -0.638
170110 0.008 -0.100 -0.022 0.122 -0.175 0.233 0.011 -0.110 -0.015 0.048 -0.005 -0.005
170111 0.074 0.006 -0.030 0.050 -0.151 0.224 0.121 -0.034 -0.019 0.051 0.152 0.443
170112 0.074 0.104 0.000 -0.075 -0.107 0.121 0.085 -0.003 -0.038 0.015 0.211 0.387
170201 0.069 0.159 0.060 -0.116 0.108 -0.081 0.075 0.031 -0.024 0.002 0.248 0.532
170202 0.074 0.128 0.045 -0.104 0.201 -0.172 0.084 0.106 -0.007 -0.035 0.210 0.530
170203 0.096 0.198 0.047 -0.079 0.321 -0.164 0.133 0.137 0.033 -0.012 0.226 0.936
170204 0.146 0.117 0.098 -0.019 0.276 -0.121 0.261 0.153 0.063 0.005 0.197 1.176
170205 0.121 -0.051 0.058 -0.008 0.153 -0.067 0.256 0.036 0.061 -0.007 -0.144 0.406
170206 -0.171 -0.220 0.034 0.049 -0.003 -0.052 -0.136 -0.019 0.019 -0.006 -0.375 -0.880
